ACOUSTICS,,
4,Massachusetts Institute of Technology,95.95
5,City University of Hong Kong,95.33
6,National University of Singapore,95.15
7,University of Illinois at Urbana–Champaign,95.11
8,Technion – Israel Institute of Technology,94.08
9,University of Waterloo,93.98
10,Hong Kong University of Science and Technology,93.39
,,
,,
,,
"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",,
World Rank,Institution,Score
1,Harvard University,100
2,Stanford University,96.54
3,University of Michigan,91.26
4,Katholieke Universiteit Leuven,89.65
5,Imperial College London,88.96
6,Massachusetts Institute of Technology,88.68
7,Swiss Federal Institute of Technology in Zurich,88.53
8,Technical University of Munich,87.95
9,National University of Singapore,87.64
10,"University of California, Los Angeles",86.86
,,
,,
,,
"COMPUTER SCIENCE, SOFTWARE ENGINEERING",,
World Rank,Institution,Score
1,Stanford University,100
2,Massachusetts Institute of Technology,99.85
3,Tsinghua University,99.59
4,Swiss Federal Institute of Technology in Zurich,99.02
5,Zhejiang University,98.86
6,Carnegie Mellon University,97.05
7,Nanyang Technological University,95.89
8,Georgia Institute of Technology,95.56
9,"University of California, Berkeley",94.56
10,University of British Columbia,92.98
,,
,,
,,
"COMPUTER SCIENCE, THEORY & METHODS",,
World Rank,Institution,Score
1,Tsinghua University,100
2,Massachusetts Institute of Technology,99.93
3,Nanyang Technological University,97.65
4,Technion – Israel Institute of Technology,95.64
5,University of Waterloo,95.55
6,City University of Hong Kong,94.94
7,Tel Aviv University,93.27
7,University of Illinois at Urbana–Champaign,93.27
9,Georgia Institute of Technology,92.98
10,National University of Singapore,92.68
,,
,,
,,
CONSTRUCTION & BUILDING TECHNOLOGY,,
World Rank,Institution,Score
1,Southeast University (China),100
2,Tongji University,97.81
3,Tsinghua University,94.01
4,Hong Kong Polytechnic University,93.78
5,Wuhan University of Technology,93.43
6,University of Lisbon,92.09
7,Delft University of Technology,91.18
8,Swiss Federal Institute of Technology in Lausanne,88.47
9,Polytechnic University of Catalonia,88.16
10,University of Minho,87.68
,,
,,
,,
CRIMINOLOGY & PENOLOGY,,
World Rank,Institution,Score
1,Florida State University,100
2,Arizona State University,96.69
3,Sam Houston State University,96.36
4,University of Cincinnati,95.17
5,"University of Maryland, College Park",94.08
6,University of Missouri–St. Louis,92.53
7,"University at Albany, SUNY",91.92
8,University of Texas at Dallas,90.64
9,Rutgers University,89.74
10,University of South Florida,89.27
,,
,,
,,
CRITICAL CARE MEDICINE,,
World Rank,Institution,Score
1,Harvard University,100
2,University of Toronto,92.64
3,University of Pittsburgh,91.36
4,Johns Hopkins University,90.68
5,University of Pennsylvania,88.69
6,University of Washington,87
7,"University of California, San Francisco",85.74
8,University of Michigan,84.57
9,Imperial College London,83.87
10,University of Colorado Denver | Anschutz Medical Campus,83.59
,,
,,
,,
CRYSTALLOGRAPHY,,
World Rank,Institution,Score
1,Nanjing University,100
2,Shandong University,93.65
3,Jilin University,93.43
4,Northeast Normal University,91.1
5,Nankai University,88.76
6,University of Chinese Academy of Sciences,88.54
7,Sun Yat-sen University,87.93
8,University of Science and Technology of China,83.99
9,Tohoku University,83.48
10,National University of Singapore,83.38
,,
,,
,,
CULTURAL STUDIES,,
World Rank,Institution,Score
1,"Goldsmiths, University of London",100
2,University of Chicago,99.59
3,New York University,98.75
4,Columbia University,91.29
5,Duke University,90.7
6,Lancaster University,89.48
7,University of Sydney,87.52
8,University of Amsterdam,86.84
9,"University of California, Berkeley",86.13
10,Harvard University,85.4
,,
,,
,,
DEMOGRAPHY,,
World Rank,Institution,Score
1,University of Oxford,100
